station,name,date,year,month,day,day_of_year,precipitation,max_temp,min_temp,avg_temp,price_usd_per_tonne
GHM00065472,KOTOKA INTERNATIONAL,1994-10-03,1994,10,3,276,0.0,82.0,73.0,77,1466.24
GHM00065472,KOTOKA INTERNATIONAL,1994-10-04,1994,10,4,277,0.0,82.0,73.0,81,1462.28
GHM00065472,KOTOKA INTERNATIONAL,1994-10-05,1994,10,5,278,0.24,82.0,73.0,79,1430.57
GHM00065445,SEFWI BEKWAI,1994-10-05,1994,10,5,278,0.0,82.0,73.0,82,1430.57
GHM00065472,KOTOKA INTERNATIONAL,1994-10-06,1994,10,6,279,0.01,82.0,73.0,80,1430.32
GHM00065445,SEFWI BEKWAI,1994-10-06,1994,10,6,279,0.0,82.0,73.5,80,1430.32
GHM00065472,KOTOKA INTERNATIONAL,1994-10-07,1994,10,7,280,0.0,82.0,74.0,82,1416.46
GHM00065432,WENCHI,1994-10-07,1994,10,7,280,1.02,82.0,73.0,75,1416.46
GHM00065472,KOTOKA INTERNATIONAL,1994-10-10,1994,10,10,283,0.0,82.0,72.0,76,1413.73
GHM00065472,KOTOKA INTERNATIONAL,1994-10-11,1994,10,11,284,0.0,82.0,74.0,80,1413.94
GHM00065457,AKIM ODA,1994-10-12,1994,10,12,285,0.94,82.0,69.0,75,1411.61
GHM00065472,KOTOKA INTERNATIONAL,1994-10-12,1994,10,12,285,1.1,81.0,69.0,76,1411.61
GHM00065467,TAKORADI,1994-10-12,1994,10,12,285,0.08,80.0,69.0,76,1411.61
GHM00065472,KOTOKA INTERNATIONAL,1994-10-13,1994,10,13,286,0.0,83.33333333333333,69.0,80,1412.38
GHM00065472,KOTOKA INTERNATIONAL,1994-10-14,1994,10,14,287,0.0,86.66666666666667,69.0,80,1415.5
GHM00065453,HO,1994-10-14,1994,10,14,287,0.55,90.0,69.0,82,1415.5
GHM00065432,WENCHI,1994-10-14,1994,10,14,287,0.0,86.0,74.0,81,1415.5
GHM00065465,AXIM,1994-10-14,1994,10,14,287,0.04,84.0,73.0,78,1415.5
GHM00065467,TAKORADI,1994-10-14,1994,10,14,287,0.0,86.0,72.0,81,1415.5
GHM00065445,SEFWI BEKWAI,1994-10-21,1994,10,21,294,0.0,86.42857142857143,73.0,83,1471.46
GHM00065465,AXIM,1994-10-21,1994,10,21,294,0.01,86.85714285714286,72.0,80,1471.46
GHM00065467,TAKORADI,1994-10-21,1994,10,21,294,0.08,87.28571428571429,72.0,80,1471.46
GHM00065442,KUMASI,1994-10-21,1994,10,21,294,0.0,87.71428571428571,73.0,76,1471.46
GHM00065472,KOTOKA INTERNATIONAL,1994-10-21,1994,10,21,294,0.0,88.14285714285714,74.0,83,1471.46
GHM00065453,HO,1994-10-21,1994,10,21,294,0.04,88.57142857142857,74.33333333333333,80,1471.46
GHM00065472,KOTOKA INTERNATIONAL,1994-10-24,1994,10,24,297,0.0,89.0,74.66666666666667,82,1459.74
