date,precipitation,avg_temp,max_temp,min_temp,year_month
1990-01-01,,80.0,91.0,76.0,1990-01
1990-01-02,,81.0,92.0,,1990-01
1990-01-03,,82.0,,,1990-01
1990-01-04,,81.0,,75.0,1990-01
1990-01-05,0.0,79.0,89.0,75.0,1990-01
1990-01-06,,83.0,90.0,,1990-01
1990-01-07,,82.0,,78.0,1990-01
1990-01-08,,82.0,,75.0,1990-01
1990-01-09,,79.0,,75.0,1990-01
1990-01-10,0.0,82.0,,75.0,1990-01
1990-01-11,,83.0,,76.0,1990-01
1990-01-12,,81.0,,75.0,1990-01
1990-01-13,,81.0,,,1990-01
1990-01-14,,83.0,,76.0,1990-01
1990-01-15,,80.0,91.0,,1990-01
1990-01-16,,81.0,,78.0,1990-01
1990-01-17,,82.0,88.0,76.0,1990-01
1990-01-18,,85.0,90.0,,1990-01
1990-01-19,0.0,82.5,,77.0,1990-01
1990-01-20,,84.0,90.0,77.0,1990-01
1990-01-21,,83.0,,75.0,1990-01
1990-01-22,0.39,83.0,,78.0,1990-01
1990-01-24,,80.0,89.0,75.0,1990-01
1990-01-25,,78.0,,71.0,1990-01
1990-01-26,,80.0,,,1990-01
1990-01-27,,82.0,,73.0,1990-01
1990-01-28,,81.0,,76.0,1990-01
1990-01-29,,81.0,,72.0,1990-01
1990-01-30,,82.0,,76.0,1990-01
1990-01-31,,81.0,92.0,76.0,1990-01
1990-02-01,,83.0,,78.0,1990-02
1990-02-02,,83.0,,79.0,1990-02
1990-02-03,,81.0,90.0,78.0,1990-02
1990-02-04,,83.0,92.0,,1990-02
1990-02-05,,83.0,,77.0,1990-02
1990-02-06,,84.0,,,1990-02
1990-02-07,,83.0,91.0,76.0,1990-02
1990-02-08,,81.0,,,1990-02
1990-02-09,,81.0,,,1990-02
1990-02-10,,79.0,,74.0,1990-02
1990-02-11,,85.0,92.0,,1990-02
1990-02-12,,85.0,,76.0,1990-02
1990-02-13,,82.0,94.0,,1990-02
1990-02-14,,81.0,,,1990-02
1990-02-15,,84.0,,76.0,1990-02
1990-02-16,,86.0,,,1990-02
1990-02-17,,82.0,,76.0,1990-02
1990-02-18,0.01,83.0,,79.0,1990-02
1990-02-19,0.53,74.5,86.5,68.0,1990-02
1990-02-20,0.2,76.0,89.0,70.0,1990-02
1990-02-21,0.0,82.0,,75.0,1990-02
1990-02-22,,82.0,,,1990-02
1990-02-23,,81.0,,,1990-02
1990-02-24,0.29,79.33333,93.0,72.5,1990-02
1990-02-25,0.0,84.0,92.0,74.0,1990-02
1990-02-26,,85.0,92.0,,1990-02
1990-02-27,0.0,85.0,,75.0,1990-02
1990-02-28,,83.0,,76.0,1990-02
1990-03-01,0.0,81.33333,93.33333,74.0,1990-03
1990-03-02,,83.0,,78.0,1990-03
1990-03-03,,82.0,,79.0,1990-03
1990-03-04,,84.0,,,1990-03
1990-03-05,,85.0,,77.0,1990-03
